SEMEL_YISHUV,CITY_NAME,ROVA,N_COMMUTERS,Private car - driver,Private car - passenger,Public bus,Light rail / metro,Employer transport,Israel Railways,Service taxi,Special taxi,Motorcycle / moped,Bicycle,Walking,Truck,Other vehicle
70,"ASHDOD",1,11905,23.432,4.782,24.811,0.0,24.364,0.411,3.034,0.321,0.341,0.994,16.807,0.3,0.403
70,"ASHDOD",2,17666,31.966,3.617,25.688,0.0,19.19,0.361,1.849,0.705,0.292,0.122,15.247,0.331,0.633
70,"ASHDOD",3,20984,42.507,4.527,22.126,0.0,19.447,0.834,1.084,0.165,0.112,0.242,8.503,0.039,0.413
70,"ASHDOD",4,24901,53.754,4.927,15.87,0.0,15.838,1.184,2.009,0.198,0.417,0.162,5.118,0.153,0.369
3000,"JERUSALEM",1,21848,47.322,4.074,37.45,0.0,5.034,0.0,0.034,0.122,0.868,0.032,4.931,0.0,0.132
3000,"JERUSALEM",4,11594,38.924,3.604,44.474,0.0,2.743,0.0,0.166,0.342,0.508,0.0,7.944,0.0,1.295
3000,"JERUSALEM",5,8963,30.353,3.87,40.346,0.0,3.217,0.0,0.55,1.178,0.314,0.186,19.042,0.0,0.943
3000,"JERUSALEM",8,14894,22.143,2.059,33.535,0.0,2.393,0.0,0.285,0.657,1.453,1.359,35.716,0.0,0.401
3000,"JERUSALEM",9,8408,26.775,3.28,43.451,0.0,1.71,0.0,0.57,1.112,0.257,0.57,21.452,0.0,0.824
3000,"JERUSALEM",10,17906,49.757,4.081,27.078,0.0,1.602,0.038,0.123,0.859,1.399,0.828,13.269,0.0,0.964
3000,"JERUSALEM",11,17650,50.437,3.579,34.739,0.0,2.873,0.073,0.0,0.343,1.529,0.908,4.546,0.275,0.697
3000,"JERUSALEM",12,15584,43.696,3.311,34.746,0.0,3.389,0.131,0.097,0.684,1.718,1.535,10.497,0.063,0.134
3000,"JERUSALEM",13,21703,52.118,3.295,24.42,0.0,1.675,0.271,0.392,0.767,1.501,1.502,13.095,0.0,0.964
4000,"HAIFA",1,14293,52.096,3.432,18.483,0.0,11.84,2.963,1.917,0.435,0.174,0.606,7.88,0.066,0.109
4000,"HAIFA",3,3992,33.811,2.724,33.416,0.0,6.151,1.218,1.957,0.0,0.489,0.084,19.659,0.119,0.373
4000,"HAIFA",4,16756,36.845,2.697,40.729,0.0,7.312,1.152,1.619,0.138,0.64,0.12,8.073,0.249,0.424
4000,"HAIFA",5,20306,67.897,2.807,15.894,0.0,4.407,0.672,0.761,0.277,0.61,0.037,6.464,0.126,0.048
4000,"HAIFA",6,12935,29.261,2.339,37.983,0.0,6.4,1.224,3.096,0.171,0.758,0.074,18.405,0.0,0.29
4000,"HAIFA",7,15727,43.85,2.605,37.837,0.0,6.745,0.574,1.54,0.5,0.212,0.128,5.762,0.0,0.245
4000,"HAIFA",8,8790,57.066,3.488,21.687,0.0,9.284,0.077,0.389,0.45,0.865,0.355,6.127,0.0,0.212
4000,"HAIFA",9,17978,77.363,2.334,8.229,0.0,4.217,1.006,0.28,0.208,0.66,0.3,4.169,0.0,1.235
5000,"TEL AVIV - YAFO",1,23474,71.996,2.639,10.108,0.0,1.273,0.66,0.599,1.009,3.051,0.889,7.438,0.0,0.338
5000,"TEL AVIV - YAFO",2,21325,74.57,2.145,9.99,0.0,0.987,0.364,0.131,0.663,3.61,0.723,6.728,0.0,0.09
5000,"TEL AVIV - YAFO",3,39067,36.413,1.97,23.271,0.0,2.516,0.734,2.152,1.639,8.018,5.662,16.821,0.0,0.805
5000,"TEL AVIV - YAFO",4,22459,58.171,1.491,12.938,0.0,1.357,1.087,2.002,1.515,5.641,3.024,11.34,0.0,1.433
5000,"TEL AVIV - YAFO",5,22660,33.798,2.528,17.894,0.0,1.279,0.381,2.233,1.574,8.525,6.685,24.417,0.0,0.685
5000,"TEL AVIV - YAFO",6,3106,41.019,2.887,16.434,0.0,0.749,1.308,2.157,1.72,6.909,5.157,20.522,0.0,1.138
5000,"TEL AVIV - YAFO",7,17999,32.767,5.528,40.633,0.0,2.455,0.223,0.092,0.371,4.44,2.992,10.308,0.049,0.14
5000,"TEL AVIV - YAFO",8,14685,24.289,2.448,40.347,0.0,1.663,0.409,1.866,0.612,6.15,6.752,15.009,0.149,0.31
5000,"TEL AVIV - YAFO",9,35554,40.782,2.883,34.421,0.0,2.878,0.741,0.396,0.367,6.447,1.338,9.533,0.021,0.193
6100,"BENE BERAQ",1,8413,25.114,2.396,45.833,0.0,4.964,0.13,0.731,0.0,2.281,1.183,17.185,0.0,0.184
6100,"BENE BERAQ",2,10318,19.022,3.122,36.552,0.0,7.835,0.195,0.938,0.748,1.414,0.683,29.183,0.076,0.233
6100,"BENE BERAQ",3,7102,23.652,2.453,32.282,0.0,6.266,0.195,0.401,0.137,1.136,0.398,32.402,0.121,0.556
6100,"BENE BERAQ",4,7592,13.915,2.335,38.618,0.0,6.992,0.0,0.487,0.38,1.053,0.403,35.423,0.0,0.394
6200,"BAT YAM",1,8419,34.454,3.353,43.616,0.0,4.98,0.0,0.133,0.248,1.608,0.692,10.169,0.089,0.657
6200,"BAT YAM",2,16255,39.728,3.738,40.078,0.0,4.826,0.0,0.144,0.281,2.644,0.506,7.739,0.051,0.264
6200,"BAT YAM",3,12898,37.267,2.534,42.764,0.0,4.94,0.199,0.059,0.431,2.824,0.372,7.983,0.175,0.451
6200,"BAT YAM",4,10045,34.052,3.147,47.969,0.0,4.045,0.189,0.0,0.383,2.374,1.03,6.404,0.073,0.333
6200,"BAT YAM",5,10917,42.214,5.531,37.985,0.0,4.594,0.136,0.0,0.082,1.945,0.196,7.108,0.074,0.134
6600,"HOLON",2,16984,52.763,2.144,30.195,0.0,5.027,0.039,0.155,0.383,2.31,0.518,5.769,0.195,0.502
6600,"HOLON",3,18043,50.917,3.238,27.69,0.0,3.264,0.134,0.19,0.445,3.526,0.69,9.419,0.102,0.385
6600,"HOLON",4,17609,63.997,3.468,17.659,0.0,4.339,0.094,0.033,0.202,3.324,0.293,5.814,0.0,0.776
6600,"HOLON",5,9805,48.471,1.902,30.717,0.0,6.558,0.094,0.176,0.27,3.68,1.043,6.914,0.08,0.094
6600,"HOLON",6,18375,45.474,3.574,35.294,0.0,4.237,0.0,0.145,0.321,2.563,0.756,7.59,0.0,0.046
7100,"ASHQELON",1,14167,62.674,5.779,11.152,0.0,13.01,0.594,0.196,0.074,0.226,0.094,5.337,0.061,0.803
7100,"ASHQELON",2,15679,43.475,5.044,16.539,0.0,23.551,1.498,0.297,0.149,0.208,0.282,8.582,0.057,0.318
7100,"ASHQELON",3,12261,28.112,4.208,27.024,0.0,28.981,0.358,0.481,0.309,0.164,0.0,10.065,0.0,0.298
7400,"NETANYA",1,11104,68.006,3.968,13.052,0.0,3.62,2.836,1.093,0.0,1.732,0.79,3.965,0.163,0.775
7400,"NETANYA",2,16869,40.534,3.147,16.773,0.0,9.73,1.223,11.047,0.075,1.238,0.898,14.788,0.147,0.4
7400,"NETANYA",3,23249,39.522,3.363,18.463,0.0,8.685,1.289,8.804,0.489,0.548,0.705,17.25,0.069,0.812
7400,"NETANYA",4,8383,35.007,3.51,31.091,0.0,13.161,0.454,10.572,0.0,0.504,0.0,5.313,0.17,0.219
7400,"NETANYA",5,14233,50.935,3.022,20.352,0.0,9.31,1.63,8.957,0.157,0.779,0.266,4.179,0.212,0.201
7900,"PETAH TIQWA",1,28031,57.908,2.945,21.232,0.0,4.213,0.457,1.025,0.122,1.997,0.6,9.129,0.067,0.307
7900,"PETAH TIQWA",2,21619,63.519,3.927,18.13,0.0,3.643,0.173,0.406,0.414,1.864,0.415,7.296,0.071,0.141
7900,"PETAH TIQWA",3,13719,35.297,2.0,36.808,0.0,5.875,0.197,3.229,0.331,1.032,0.636,14.302,0.0,0.294
7900,"PETAH TIQWA",4,17331,49.517,4.61,27.946,0.0,5.478,0.041,0.521,0.754,2.16,0.756,7.925,0.073,0.219
7900,"PETAH TIQWA",5,10892,46.293,3.781,33.547,0.0,4.23,0.747,0.977,0.508,1.331,0.678,7.003,0.241,0.662
8300,"RISHON LEZIYYON",1,21134,48.521,2.837,26.578,0.0,8.312,0.353,2.72,0.176,0.925,0.453,8.591,0.134,0.399
8300,"RISHON LEZIYYON",2,19729,60.374,3.894,17.967,0.0,5.97,1.596,0.9,0.591,1.154,0.118,6.846,0.388,0.206
8300,"RISHON LEZIYYON",3,9729,49.518,3.368,27.02,0.0,5.595,0.195,1.138,0.203,1.275,0.56,10.432,0.174,0.522
8300,"RISHON LEZIYYON",4,17111,57.948,3.916,20.098,0.0,5.347,0.817,0.775,0.168,1.123,0.428,9.153,0.228,0.0
8300,"RISHON LEZIYYON",5,24736,64.199,3.586,19.688,0.0,3.823,0.149,0.223,0.52,1.9,0.443,5.256,0.161,0.053
8300,"RISHON LEZIYYON",6,13651,72.833,3.9,14.281,0.0,2.717,0.136,0.402,0.474,1.988,0.143,2.7,0.155,0.271
8400,"REHOVOT",1,12694,50.294,3.746,12.519,0.0,7.419,2.555,2.802,0.496,0.719,1.541,17.909,0.0,0.0
8400,"REHOVOT",2,10851,54.738,4.554,20.388,0.0,8.53,1.317,1.002,0.058,0.309,0.66,7.75,0.096,0.599
8400,"REHOVOT",3,7614,53.02,3.984,22.402,0.0,9.412,0.91,1.819,0.319,1.181,0.821,5.787,0.15,0.195
8400,"REHOVOT",4,16385,51.455,3.03,18.233,0.0,7.226,1.665,0.811,0.303,1.15,1.2,14.098,0.178,0.651
8600,"RAMAT GAN",1,28638,47.072,2.29,26.963,0.0,2.01,0.887,1.071,0.64,5.373,1.26,12.138,0.073,0.224
8600,"RAMAT GAN",2,19045,57.185,3.011,21.97,0.0,2.509,0.221,0.0,0.596,6.591,0.648,7.129,0.0,0.142
8600,"RAMAT GAN",3,13789,59.983,2.255,22.515,0.0,1.706,0.0,0.0,0.142,4.803,1.296,7.094,0.0,0.205
8600,"RAMAT GAN",4,7061,64.417,2.124,18.018,0.0,2.35,0.104,0.447,0.316,3.914,0.648,7.66,0.0,0.0
9000,"BE'ER SHEVA",1,6452,18.113,8.73,37.269,0.0,16.407,0.216,0.0,0.506,0.326,1.286,16.798,0.095,0.255
9000,"BE'ER SHEVA",2,16008,30.967,4.198,29.957,0.0,26.389,0.55,0.095,0.779,0.291,0.524,5.879,0.085,0.287
9000,"BE'ER SHEVA",3,6494,41.903,6.402,21.846,0.0,23.401,0.237,0.36,1.399,0.292,0.277,3.675,0.0,0.208
9000,"BE'ER SHEVA",4,21760,45.59,6.304,18.95,0.0,21.325,0.423,0.479,1.22,0.486,0.265,4.853,0.028,0.077
9000,"BE'ER SHEVA",5,6964,31.659,8.323,24.556,0.0,17.469,0.103,0.5,0.771,0.526,0.398,15.695,0.0,0.0
9000,"BE'ER SHEVA",6,21802,47.983,6.131,15.572,0.0,18.366,0.616,0.135,1.263,0.497,0.5,8.611,0.033,0.295
